PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
38322349,Dual-responsive supramolecular photodynamic nanomedicine with activatable immunomodulation for enhanced antitumor therapy.,2024,"Zhao, Huan","Revvity Inc., Waltham, MA 02451, USA.",None
38304857,"RELAY, Erlotinib Plus Ramucirumab in Untreated, ",2024,"Carlsen, Michelle","Eli Lilly and Company, Indianapolis, Indiana.",None
38245456,Brief Report: Updated Efficacy and Safety Data From an Integrated Analysis of Entrectinib in Locally Advanced/Metastatic ROS1 Fusion-Positive Non-Small-Cell Lung Cancer.,2024,"Zeuner, Harald; Xue, Cloris","F. Hoffmann-La Roche Ltd, Basel, Switzerland.; F. Hoffmann-La Roche Ltd, Mississauga, Canada.",matthew.krebs@manchester.ac.uk.
38239813,A retrospective study of ensartinib-treated ,2023,"Yuan, Xiaobin; Wang, Yang; Yang, Min; Wu, Pengxiang; Chen, Hui; Yun, Yu; Shen, Zhilin; Ji, Dong; Ma, Yongbin; Ding, Lieming","Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.; Betta Pharmaceuticals Co., Ltd, Hangzhou, Zhejiang, 311100, China.",None
38222108,T proliferating cells derived autophagy signature associated with prognosis and immunotherapy resistance in a pan-cancer analysis.,2024/Jan/19,"Li, Chengcheng; Zhu, Xin; Wang, Guoqiang; Cai, Shangli","Burning Rock Biotech, Guangdong, China.; Burning Rock Biotech, Guangdong, China.; Burning Rock Biotech, Guangdong, China.; Burning Rock Biotech, Guangdong, China.",None
38176113,"Discovery of ASP6918, a KRAS G12C inhibitor: Synthesis and structure-activity relationships of 1-{2,7-diazaspiro[3.5]non-2-yl}prop-2-en-1-one derivatives as covalent inhibitors with good potency and oral activity for the treatment of solid tumors.",2024/Jan/15,"Imaizumi, Tomoyoshi; Shimada, Itsuro; Satake, Yoshiki; Yamaki, Susumu; Koike, Takanori; Nigawara, Takahiro; Kaneko, Osamu; Amano, Yasushi; Mori, Kenichi; Yamanaka, Yosuke; Nakayama, Ayako; Nishizono, Yoshihiro; Shimazaki, Masashi; Nagashima, Takeyuki; Kuramoto, Kazuyuki","Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan. Electronic address: tomoyoshi.imaizumi@astellas.com.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.; Tsukuba Research Center, Astellas Pharma Inc.; 21, Miyukigaoka, Tsukuba-shi, Ibaraki 305-8585, Japan.",tomoyoshi.imaizumi@astellas.com.
38159809,"Pembrolizumab With or Without Lenvatinib for First-Line Metastatic NSCLC With Programmed Cell Death-Ligand 1 Tumor Proportion Score of at least 1% (LEAP-007): A Randomized, Double-Blind, Phase 3 Trial.",2024,"Okpara, Chinyere E; Dutcus, Corina; Zimmer, Zachary; Samkari, Ayman; Bhagwati, Niyati","Eisai Ltd., Hatfield, United Kingdom.; Eisai Inc., Nutley, New Jersey.; Merck & Co., Inc., Rahway, New Jersey.; Merck & Co., Inc., Rahway, New Jersey.; Merck & Co., Inc., Rahway, New Jersey.",chihyang@ntu.edu.tw.
38131189,Incidence of interstitial lung disease in patients with breast cancer: a nationwide database study in Japan.,2024,"Onoue, Tomohiro; Hashimoto, Wataru","Daiichi Sankyo Co., Ltd, Tokyo, 140-8710, Japan.; Daiichi Sankyo Co., Ltd, Tokyo, 140-8710, Japan.",None
38114357,Efficacy of Mobocertinib and Amivantamab in Patients With Advanced Non-Small Cell Lung Cancer With EGFR Exon 20 Insertions Previously Treated With Platinum-Based Chemotherapy: An Indirect Treatment Comparison.,2024,"Prawitz, Thibaud; Lin, Huamao M; Hong, Jin-Liern; Tan, Min; Proskorovsky, Irina; Hernandez, Luis; Jin, Shu; Zhang, Pingkuan; Lin, Jianchang","Evidera, Inc, Paris, France.; Takeda Development Center Americas, Inc., Lexington, MA. Electronic address: Mark.Lin@Takeda.com.; Takeda Development Center Americas, Inc., Lexington, MA.; Evidera, Inc, Lexington, MA.; Evidera, Inc, Lexington, MA.; Takeda Pharmaceuticals America, Inc., Lexington, MA.; Takeda Development Center Americas, Inc., Lexington, MA.; Takeda Development Center Americas, Inc., Lexington, MA.; Takeda Development Center Americas, Inc., Lexington, MA.",Mark.Lin@Takeda.com.
38101437,"Sunvozertinib for patients in China with platinum-pretreated locally advanced or metastatic non-small-cell lung cancer and EGFR exon 20 insertion mutation (WU-KONG6): single-arm, open-label, multicentre, phase 2 trial.",2024,"Yang, Zhenfan","Dizal Pharmaceutical, Shanghai, China. Electronic address: pamela.yang@dizalpharma.com.",pamela.yang@dizalpharma.com.
